Traditional	Study Order	Variants	Simplified	Pinyin	Keyword	Meaning	Examples	Examples Pinyin	Sound	Frequency	Zhuyin	Vocabulary Zhuyin	Stroke Order	Etymology	Gif
一	1		一	yī	one	one; a, an; alone	一點 一點兒 一些	yīdiǎn yīdiǎnr yīxiē	[sound:mp3/yi1.mp3]	5	ㄧ	ㄧ ㄉㄧㄢˇ  ㄧ ㄉㄧㄢˇㄦ˙  ㄧ ㄒㄧㄝ 	['㇐']	Although 一 is sometimes said to represent an outstretched finger, the phonetic evidence suggests the fundamental idea is that of its cognate 壹 (unity of contents). 一 may therefore be regarded as an abstract representation of unity, or fullness | *one*. 	images-large/4e00-large.gif
勺	2		勺	sháo	ladle	spoon, ladle; unit of volume			[sound:mp3/shao2.mp3]	4643	ㄕㄠˊ		['㇒', '㇆', '㇔']	A depiction of a slightly curved *spoon* or *ladle* + a stroke representing the contents of a container rising and becoming evident | *unit of capacity* (approximately 0.018 liters); *unit of area* (approximately 0.033 square meters). 	
口	3		口	kǒu	mouth	mouth; open end; entrance, gate	十字路口 門口 路口	shízìlùkǒu ménkǒu lùkǒu	[sound:mp3/kou3.mp3]	404	ㄎㄡˇ	ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄇㄣˊㄎㄡˇ  ㄌㄨ`ㄎㄡˇ	['㇑', '㇕', '㇐']	A depiction of a rounded cavity, and in particular the human *mouth* | *hole*; *entrance*. 口 can also function as a shape indicator. 	images-large/53e3-large.gif
日	4		日	rì	day	sun; day; daytime	日本 生日 星期日	Rìběn shēngrì Xīngqīrì	[sound:mp3/ri4.mp3]	124	ㄖ`	ㄖ`ㄅㄣˇ  ㄕㄥ ㄖ`  ㄒㄧㄥ ㄑㄧ ㄖ`	['㇑', '㇕', '㇐', '㇐']	A depiction of the *sun* | *day* (← appearance of the sun ushering in a new day). As with 熱, the heat of the sun was understood in terms of softening objects and/or reducing them in size. 	images-large/65e5-large.gif
白	5		白	bái	white	white; pure, unblemished; bright	白色 白白 白菜	báisè báibái báicài	[sound:mp3/bai2.mp3]	358	ㄅㄞˊ	ㄅㄞˊㄙㄜ`  ㄅㄞˊㄅㄞˊ  ㄅㄞˊㄘㄞ`	['㇒', '㇑', '㇕', '㇐', '㇐']	"A depiction of an acorn, a large number of which would be scattered over the ground. The meaning *white* is by association with the color of acorn meat. For ""large number,"" compare 百. "	images-large/767d-large.gif
的	6		的	de	bull's eye	possessive, adjectival suffix	別的 的話 目的	biéde dehuà mùdì	[sound:mp3/de1.mp3]	1	ㄉㄜ˙	ㄅㄧㄝˊㄉㄜ˙  ㄉㄜ˙ㄏㄨㄚ`  ㄇㄨ`ㄉㄧ`	['㇒', '㇑', '㇕', '㇐', '㇐', '㇒', '㇆', '㇔']	As per 勺# (rise and become evident) + 白 white (| color that stands out) | conspicuous *target*; *mark*; *objective* | *obvious*; *hit*; *-like*. 	images-large/7684-large.gif
止	7		止	zhǐ	stop	stop, halt, desist; detain	不止 防止 截止	bùzhǐ fángzhǐ jiézhǐ	[sound:mp3/zhi3.mp3]	765	ㄓˇ	ㄅㄨ`ㄓˇ  ㄈㄤˊㄓˇ  ㄐㄧㄝˊㄓˇ	['㇑', '㇐', '㇑', '㇐']	A depiction of a leg/foot come to a *stop*, making the body stand straight upright | servant standing straight (by) in awaiting orders (compare 寺). Also, *turn off* (← stop). 	images-large/6b62-large.gif
正	8		正	zhèng	correct	right, proper, correct	正在 真正 正常	zhèngzài zhēnzhèng zhèngcháng	[sound:mp3/zheng4.mp3]	125	ㄓㄥ`	ㄓㄥ`ㄗㄞ`  ㄓㄣ ㄓㄥ`  ㄓㄥ`ㄔㄤˊ	['㇐', '㇑', '㇐', '㇑', '㇐']	止# (stand straight) + a line | straight line | *punctual*; *right*; *correct*; *straighten*; *proper* (← abstract applications of the idea of straightness/uprightness; compare 是) | *surely*; *certainly*. 	images-large/6b63-large.gif
是	9		是	shì	be	indeed, yes, right; to be; demonstrative pronoun, this, that	可是 還是 總是	kěshì háishi zǒngshì	[sound:mp3/shi4.mp3]	2	ㄕ`	ㄎㄜˇㄕ`  ㄏㄞˊㄕ˙  ㄗㄨㄥˇㄕ`	['㇑', '㇕', '㇐', '㇐', '㇐', '㇑', '㇐', '㇒', '㇏']	The relevant bronzeware inscription form is 止# (stand straight) + a spoon/ladle | straight spoon/ladle | *correct*; *just*; *right* (← abstract applications of straightness/uprightness). 	images-large/662f-large.gif
卜	10		卜	bǔ	divination	fortune telling; prophesy			[sound:mp3/bu3.mp3]	2199	bǔ		['㇑', '㇔']	A depiction of cracks spreading over shells/bones burnt in a divination rite | *divination*; *fortune-telling*. 	images-large/535c-large.gif
不	11		不	bù	no	no, not; un-; negative prefix	對不起 不錯 不客氣	duìbuqǐ bùcuò bùkèqi	[sound:mp3/bu4.mp3]	3	ㄅㄨ`	ㄉㄨㄟ`ㄅㄨ˙ㄑㄧˇ  ㄅㄨ`ㄘㄨㄛ`  ㄅㄨ`ㄎㄜ`ㄑㄧ˙	['㇐', '㇒', '㇑', '㇔']	A depiction of a bulging, swollen bud (compare 芣). *Not* and *un-* are borrowed meanings (compare 拂 and 非). 	images-large/4e0d-large.gif
二	12		二	èr	two	two; twice			[sound:mp3/er4.mp3]	133	ㄦ`		['㇐', '㇐']	Parallel lines indicating *two* and suggesting an alignment of supple objects, along with the abstract sense of ongoing affinity. 	images-large/4e8c-large.gif
戈	13		戈	gē	halberd	halberd, spear, lance; rad. 62			[sound:mp3/ge1.mp3]	2382	ㄍㄜ		['㇐', '㇂', '㇒', '㇔']	A depiction of a long *halberd* with a curved handle and sharp blade | *spear*; *lance*. Also, *battle*. 	images-large/6208-large.gif
手	14		手	shǒu	hand	hand	手機 洗手間 手指	shǒujī xǐshǒujiān shǒuzhǐ	[sound:mp3/shou3.mp3]	151	ㄕㄡˇ	ㄕㄡˇㄐㄧ   ㄒㄧˇㄕㄡˇㄐㄧㄢ   ㄕㄡˇㄓˇ	['㇒', '㇐', '㇐', '㇚']	A depiction of a *hand* showing the five fingers in a curved, gripping position. Extended meanings include *arm*; *paw*; *foreleg*; *a handle*; *helper*; *a means*; *technique*; (in board games) *a move*; *a type*; *a direction*; and *handwriting*. 	images-large/624b-large.gif
我	15		我	wǒ	I	our, us, i, me, my, we	我們 自我	wǒmen zìwǒ	[sound:mp3/wo3.mp3]	4	ㄨㄛˇ	ㄨㄛˇㄇㄣ˙  ㄗ`ㄨㄛˇ	['㇒', '㇐', '㇚', '㇀', '㇂', '㇒', '㇔']	The relevant oracle bone form of this character is a variant of 戈 spear/halberd, indicating a weapon/knife with a serrated blade (i.e., a blade the teeth of which are in alignment). 	images-large/6211-large.gif
十	16		十	shí	ten	ten, tenth; complete; perfect	十字路口 十分 十足	shízìlùkǒu shífēn shízú	[sound:mp3/shi2.mp3]	163	ㄕˊ	ㄕˊㄗ`ㄌㄨ`ㄎㄡˇ  ㄕˊㄈㄣ   ㄕˊㄗㄨˊ	['㇐', '㇑']	A depiction of objects pressed into a single unit in gathering | *ten* (← key unit in counting). 	images-large/5341-large.gif
人	17		人	rén	person	man; people; mankind; someone else	家人 工人 別人	jiārén gōngrén biéren	[sound:mp3/ren2.mp3]	9	ㄖㄣˊ	ㄐㄧㄚ ㄖㄣˊ  ㄍㄨㄥ ㄖㄣˊ  ㄅㄧㄝˊㄖㄣ˙	['㇓', '㇏']	A depiction of a standing *person* reaching toward another, suggesting people in mutable interaction | *human* (being). Compare 仁. In dual-element characters, 人 nearly always appears on the left in the form 亻. In many such characters (價 儗 仰 儆 偃 儀 etc.), 人 suggests human agency, but there are others in which 人 has no semantic function at all. In these cases (伎 優 供 佑  傾 佹 etc.), 人 is used simply to create a derivative character conveying meanings that dropped from the original one. 	images-large/4eba-large.gif
又	18		又	yòu	again	and, also, again, in addition			[sound:mp3/you4.mp3]	139	ㄧㄡ`		['㇇', '㇏']	A depiction of a person's right arm contracted in surrounding or protecting an object resting on the shoulders | *above*; *beyond* | *again*; *moreover*; *or*. 	images-large/53c8-large.gif
月	19		月	yuè	month	moon; month; KangXi radical 74	月亮 月餅 月份	yuèliang yuèbǐng yuèfèn	[sound:mp3/yue4.mp3]	214	ㄩㄝ`	ㄩㄝ`ㄌㄧㄤ˙  ㄩㄝ`ㄅㄧㄥˇ  ㄩㄝ`ㄈㄣ`	['㇓', '㇆', '㇐', '㇐']	A depiction of a crescent *moon*, observed as a scooped-out portion of the full moon | *month*. *Monday* is a borrowed meaning. 	images-large/6708-large.gif
肉	20		肉	ròu	meat	flesh; meat; KangXi radical 130	肌肉 烤肉 肉麻	jīròu kǎoròu ròumá	[sound:mp3/rou4.mp3]	900	ㄖㄡ`	ㄐㄧ ㄖㄡ`  ㄎㄠˇㄖㄡ`  ㄖㄡ`ㄇㄚˊ		A depiction of a slab of soft animal *meat* with the veins exposed | *flesh*. 	images-large/8089-large.gif
有	21		有	yǒu	possess	have, own, possess; exist	有趣 有時候 有用	yǒuqù yǒushíhou yǒuyòng	[sound:mp3/you3.mp3]	6	ㄧㄡˇ	ㄧㄡˇㄑㄩ`  ㄧㄡˇㄕˊㄏㄡ˙  ㄧㄡˇㄩㄥ`	['㇐', '㇒', '㇑', '㇆', '㇐', '㇐']	The relevant seal inscription form is as per 又# (right hand/arm) + 肉 flesh | extend the right hand/arm in shouldering a slab of meat | *have* (← hold) | *be*; *exist* (← have being ← have form ← object in a fixed point of space; compare 居, 在, and 存). 	images-large/6709-large.gif
大	22		大	dà	large	big, great, vast, large, high	大學 大家 大人	Dàxué dàjiā dàren	[sound:mp3/da4.mp3]	7	ㄉㄚ`	ㄉㄚ`ㄒㄩㄝˊ  ㄉㄚ`ㄐㄧㄚ   ㄉㄚ`ㄖㄣ˙	['㇐', '㇓', '㇏']	A depiction of a person standing greatly outstretched, reducing the distance between oneself and others | *big*; *large*; *great*; *full*; *spacious* | *extremely*; *too*; *excellent*; *general*. 	images-large/5927-large.gif
土	23		土	tǔ	soil	soil, earth; items made of earth	土地 本土 領土	tǔdì běntǔ lǐngtǔ	[sound:mp3/tu3.mp3]	674	ㄊㄨˇ	ㄊㄨˇㄉㄧ`  ㄅㄣˇㄊㄨˇ  ㄌㄧㄥˇㄊㄨˇ	['㇐', '㇑', '㇐']	A depiction of a pile of *earth*. 	images-large/571f-large.gif
才	24		才	cái	genius	talent, ability; just, only	剛才 才能 口才	gāngcái cáinéng kǒucái	[sound:mp3/cai2.mp3]	172	ㄘㄞˊ	ㄍㄤ ㄘㄞˊ  ㄘㄞˊㄋㄥˊ  ㄎㄡˇㄘㄞˊ	['㇐', '㇚', '㇒']	A depiction of rocks piled to cut off/dam a river | *stop/cut off* | *a little*; *for the first time*. *Genius* and *ability* are borrowed meanings, as is (number of) *years old*. 	images-large/624d-large.gif
在	25		在	zài	at	be at, in, on; consist in, rest	現在 正在 存在	xiànzài zhèngzài cúnzài	[sound:mp3/zai4.mp3]	8	ㄗㄞ`	ㄒㄧㄢ`ㄗㄞ`  ㄓㄥ`ㄗㄞ`  ㄘㄨㄣˊㄗㄞ`	['㇐', '㇒', '㇑', '㇐', '㇑', '㇐']	The relevant seal inscription form is 才# cut off + 土 earth | pile earth to cut off the flow of a river. *Be*, *exist*, *location*, *stay*, *be alive*, and *in* are extended meanings (← be fixed  firmly in one place; compare 居, 有, and 存) | *country(side)* (← permanence of rural abodes). 	images-large/5728-large.gif
